frame,image_name,label,label_id,xtl,ytl,xbr,ybr,track_id
114,frame_00114.jpg,Standing,1,741,563,777,637,0
115,frame_00115.jpg,Standing,1,740,563,776,637,0
116,frame_00116.jpg,Standing,1,739,563,775,637,0
117,frame_00117.jpg,Standing,1,738,563,774,637,0
118,frame_00118.jpg,Standing,1,737,563,773,637,0
119,frame_00119.jpg,Standing,1,737,563,773,637,0
120,frame_00120.jpg,Standing,1,736,563,772,637,0
121,frame_00121.jpg,Standing,1,734,563,770,636,0
122,frame_00122.jpg,Standing,1,733,562,769,636,0
123,frame_00123.jpg,Standing,1,732,562,768,636,0
124,frame_00124.jpg,Standing,1,730,562,766,636,0
125,frame_00125.jpg,Standing,1,730,562,766,636,0
126,frame_00126.jpg,Standing,1,729,562,765,635,0
127,frame_00127.jpg,Standing,1,729,561,765,635,0
128,frame_00128.jpg,Standing,1,728,561,764,635,0
129,frame_00129.jpg,Standing,1,728,561,764,635,0
130,frame_00130.jpg,Standing,1,727,561,763,635,0
131,frame_00131.jpg,Standing,1,727,561,763,634,0
132,frame_00132.jpg,Standing,1,725,560,761,634,0
133,frame_00133.jpg,Standing,1,724,560,760,634,0
134,frame_00134.jpg,Standing,1,723,560,759,634,0
135,frame_00135.jpg,Standing,1,721,560,757,634,0
136,frame_00136.jpg,Standing,1,720,560,756,633,0
137,frame_00137.jpg,Standing,1,719,559,755,633,0
138,frame_00138.jpg,Standing,1,717,559,753,633,0
139,frame_00139.jpg,Standing,1,716,559,752,633,0
140,frame_00140.jpg,Standing,1,714,560,750,632,0
141,frame_00141.jpg,Standing,1,712,561,748,632,0
142,frame_00142.jpg,Standing,1,711,562,747,631,0
143,frame_00143.jpg,Standing,1,709,563,745,631,0
144,frame_00144.jpg,Standing,1,707,565,743,630,0
145,frame_00145.jpg,Standing,1,705,566,741,629,0
146,frame_00146.jpg,Standing,1,709,558,746,632,0
147,frame_00147.jpg,Standing,1,708,558,744,632,0
148,frame_00148.jpg,Standing,1,707,559,743,632,0
149,frame_00149.jpg,Standing,1,706,559,742,633,0
150,frame_00150.jpg,Standing,1,705,559,741,633,0
151,frame_00151.jpg,Standing,1,704,559,740,633,0
152,frame_00152.jpg,Standing,1,703,559,739,633,0
153,frame_00153.jpg,Standing,1,701,559,737,633,0
154,frame_00154.jpg,Standing,1,699,559,735,633,0
155,frame_00155.jpg,Standing,1,697,559,733,632,0
156,frame_00156.jpg,Standing,1,695,558,731,632,0
157,frame_00157.jpg,Standing,1,693,559,729,633,0
158,frame_00158.jpg,Standing,1,692,560,728,634,0
159,frame_00159.jpg,Standing,1,690,561,726,634,0
160,frame_00160.jpg,Standing,1,688,561,724,634,0
161,frame_00161.jpg,Standing,1,687,561,723,635,0
162,frame_00162.jpg,Standing,1,686,561,722,635,0
163,frame_00163.jpg,Standing,1,685,561,721,635,0
164,frame_00164.jpg,Standing,1,684,562,720,636,0
165,frame_00165.jpg,Standing,1,683,562,719,636,0
166,frame_00166.jpg,Standing,1,681,561,717,635,0
167,frame_00167.jpg,Standing,1,678,560,714,634,0
168,frame_00168.jpg,Standing,1,676,560,712,634,0
169,frame_00169.jpg,Standing,1,675,560,711,634,0
170,frame_00170.jpg,Standing,1,673,560,709,634,0
171,frame_00171.jpg,Standing,1,671,561,707,634,0
172,frame_00172.jpg,Standing,1,670,561,706,635,0
173,frame_00173.jpg,Standing,1,668,561,704,635,0
174,frame_00174.jpg,Standing,1,667,561,703,635,0
175,frame_00175.jpg,Standing,1,665,562,701,635,0
176,frame_00176.jpg,Standing,1,664,562,700,636,0
177,frame_00177.jpg,Standing,1,662,562,698,636,0
178,frame_00178.jpg,Standing,1,661,563,697,637,0
179,frame_00179.jpg,Standing,1,659,563,695,637,0
180,frame_00180.jpg,Standing,1,657,563,693,637,0
181,frame_00181.jpg,Standing,1,656,563,692,637,0
182,frame_00182.jpg,Standing,1,655,563,691,637,0
183,frame_00183.jpg,Standing,1,654,563,690,637,0
184,frame_00184.jpg,Standing,1,653,563,689,637,0
185,frame_00185.jpg,Standing,1,652,563,688,637,0
186,frame_00186.jpg,Standing,1,651,563,687,637,0
187,frame_00187.jpg,Standing,1,649,564,685,637,0
188,frame_00188.jpg,Standing,1,647,564,683,637,0
189,frame_00189.jpg,Standing,1,644,564,680,638,0
190,frame_00190.jpg,Standing,1,642,564,678,638,0
191,frame_00191.jpg,Standing,1,640,564,676,638,0
192,frame_00192.jpg,Standing,1,638,564,674,638,0
193,frame_00193.jpg,Standing,1,637,564,673,638,0
194,frame_00194.jpg,Standing,1,636,564,672,637,0
195,frame_00195.jpg,Standing,1,635,563,671,637,0
196,frame_00196.jpg,Standing,1,633,562,669,636,0
197,frame_00197.jpg,Standing,1,630,561,666,635,0
198,frame_00198.jpg,Standing,1,628,561,664,634,0
199,frame_00199.jpg,Standing,1,625,560,661,634,0
200,frame_00200.jpg,Standing,1,621,560,657,633,0
201,frame_00201.jpg,Standing,1,618,559,654,633,0
202,frame_00202.jpg,Standing,1,617,559,653,633,0
203,frame_00203.jpg,Standing,1,616,559,652,632,0
204,frame_00204.jpg,Standing,1,615,558,651,632,0
205,frame_00205.jpg,Standing,1,614,558,650,632,0
206,frame_00206.jpg,Standing,1,613,558,649,631,0
207,frame_00207.jpg,Standing,1,611,557,647,631,0
208,frame_00208.jpg,Standing,1,609,557,645,630,0
209,frame_00209.jpg,Standing,1,607,556,643,630,0
210,frame_00210.jpg,Standing,1,605,555,641,629,0
211,frame_00211.jpg,Standing,1,603,555,639,629,0
212,frame_00212.jpg,Standing,1,600,554,636,628,0
213,frame_00213.jpg,Standing,1,598,554,634,627,0
214,frame_00214.jpg,Standing,1,596,553,632,627,0
215,frame_00215.jpg,Standing,1,593,552,629,626,0
216,frame_00216.jpg,Standing,1,591,552,627,626,0
217,frame_00217.jpg,Standing,1,589,552,625,627,0
218,frame_00218.jpg,Standing,1,588,553,624,628,0
219,frame_00219.jpg,Standing,1,586,553,622,630,0
220,frame_00220.jpg,Standing,1,585,554,621,631,0
221,frame_00221.jpg,Standing,1,583,554,619,632,0
222,frame_00222.jpg,Standing,1,581,555,617,634,0
223,frame_00223.jpg,Standing,1,580,554,616,633,0
224,frame_00224.jpg,Standing,1,578,554,614,633,0
225,frame_00225.jpg,Standing,1,576,554,612,633,0
226,frame_00226.jpg,Standing,1,574,554,610,633,0
227,frame_00227.jpg,Standing,1,572,554,608,632,0
228,frame_00228.jpg,Standing,1,571,553,607,632,0
229,frame_00229.jpg,Standing,1,568,553,604,632,0
